age,income,expenses,savings_ratio,dependents,horizon,existing_investments,crash_behavior,experience,focus,risk_label
39,27204,17456,0.358,3,32,4548793,2,1,1,2
60,117769,38444,0.674,1,21,244361,2,2,0,2
53,112265,63538,0.434,1,4,4930226,2,0,2,1
45,77428,23852,0.692,2,19,1482988,0,0,1,1
44,58870,47486,0.193,2,2,906030,1,0,1,0
53,128547,107574,0.163,0,26,2794399,0,2,2,1
58,260990,110204,0.578,3,34,4642824,1,1,1,1
33,74067,30697,0.586,0,14,4689948,2,1,1,2
34,263083,187984,0.285,0,15,2869595,1,1,2,2
44,137217,60287,0.561,1,20,3957396,0,0,0,0
46,123934,98191,0.208,0,34,1789806,0,0,1,0
56,167980,103418,0.384,0,19,1540545,1,2,1,1
62,234329,115507,0.507,4,9,967035,0,2,1,1
51,282354,214019,0.242,2,7,80570,1,1,0,0
38,86215,49260,0.429,2,30,3926427,2,1,2,2
41,211907,169821,0.199,3,13,952573,1,2,0,1
46,133048,107823,0.19,2,27,1777182,1,1,2,2
43,194530,76057,0.609,3,13,693920,1,0,2,2
34,202241,60930,0.699,4,15,435643,2,1,1,2
40,163731,137724,0.159,2,9,3009192,0,1,1,0
57,264977,211551,0.202,4,23,3075152,2,1,2,2
33,138688,45835,0.67,2,3,4791344,1,2,0,1
62,245460,186100,0.242,2,34,1621398,1,2,0,1
40,211823,116882,0.448,4,19,366447,0,0,0,1
33,234987,103965,0.558,0,28,1958303,0,1,1,2
30,294150,230410,0.217,0,23,2841554,2,0,0,1
28,274243,111936,0.592,0,7,1426007,1,1,1,1
49,99218,81459,0.179,0,12,4988024,1,1,1,1
35,221416,91465,0.587,2,14,3255298,1,1,0,1
52,57430,36613,0.362,1,15,4717003,2,2,0,1
40,48091,20327,0.577,4,3,1653986,2,1,2,2
37,282125,169308,0.4,1,15,4326943,1,2,1,1
26,48989,33125,0.324,1,24,572166,1,0,1,1
56,100451,40645,0.595,3,8,2146002,2,0,0,1
33,43990,25799,0.414,0,5,3015750,2,1,1,2
46,275541,153747,0.442,2,4,666495,1,2,0,1
42,167105,56660,0.661,0,14,4011204,0,1,2,1
57,149932,112459,0.25,0,16,58791,2,0,1,1
44,293083,142035,0.515,1,20,4990420,0,1,2,2
37,138000,85010,0.384,3,24,2976367,0,1,2,1
60,203634,118745,0.417,0,6,139118,2,2,1,2
63,60063,34974,0.418,4,31,4723526,1,1,1,1
60,232793,83566,0.641,4,6,2726217,2,2,2,2
35,183117,97585,0.467,0,15,2351316,1,2,1,2
52,109703,60205,0.451,1,29,2470394,2,0,0,1
26,260796,183470,0.296,1,3,589352,1,1,1,1
56,153557,117012,0.238,2,11,1367904,2,1,0,1
44,278317,166917,0.4,3,3,27424,1,2,2,2
50,220877,76805,0.652,1,28,3804130,0,0,1,1
64,68309,29391,0.57,2,10,3644221,1,0,2,1
32,68527,26774,0.609,4,33,4463587,2,0,1,2
39,249490,91946,0.631,4,16,273370,0,1,2,2
33,164883,82646,0.499,4,10,4667818,1,0,1,1
30,118344,50434,0.574,0,33,4540100,0,1,1,1
31,180344,75756,0.58,3,3,1040062,0,2,2,2
38,248564,82046,0.67,2,5,4789239,1,1,2,1
59,72153,22347,0.69,3,12,3738633,2,1,1,2
28,133042,47432,0.643,0,13,160887,1,2,1,2
34,79110,31225,0.605,2,24,4891894,1,1,1,2
61,170051,91324,0.463,2,32,1817820,2,0,2,2
63,266131,154565,0.419,1,16,2573817,1,0,0,1
30,264173,99679,0.623,3,32,3673547,1,1,2,2
48,53328,28457,0.466,3,21,4646586,0,0,1,1
23,137911,67295,0.512,1,12,754380,1,1,0,1
26,84234,33767,0.599,4,21,3502183,1,2,2,2
50,273503,83079,0.696,0,21,2844814,1,1,0,1
58,252135,140403,0.443,3,6,1130700,2,1,1,1
59,98402,66628,0.323,1,9,2579072,1,0,2,1
40,30451,12925,0.576,2,1,700149,0,2,2,1
29,112178,41785,0.628,1,12,757758,2,2,1,2
22,261562,206077,0.212,4,14,2086508,1,1,2,2
43,148765,67132,0.549,0,6,927028,2,1,0,1
38,153389,64881,0.577,4,1,1828864,1,1,2,1
28,214699,165619,0.229,2,22,4282378,0,0,2,1
46,222227,166538,0.251,2,34,1156921,1,0,1,1
25,290786,158940,0.453,2,11,1266410,1,0,0,2
57,285220,162313,0.431,2,3,1504895,0,1,1,1
27,250898,105317,0.58,1,6,3622882,1,0,0,1
52,93431,32052,0.657,2,6,3291890,1,0,1,1
40,80745,49689,0.385,2,20,1236635,1,0,1,1
60,75081,26585,0.646,1,21,4162974,1,1,1,2
48,241204,131962,0.453,2,2,3625991,1,1,2,1
31,101253,82751,0.183,4,26,2219369,0,0,0,0
47,297355,245038,0.176,4,31,4340405,1,2,1,1
40,136086,58739,0.568,3,26,4946031,0,1,0,1
60,118783,76408,0.357,4,32,89067,0,0,2,1
24,150681,84493,0.439,0,10,4247824,1,0,1,1
34,112893,88240,0.218,0,23,944339,1,1,2,2
49,183763,82562,0.551,0,6,2908941,1,0,0,0
41,102960,31097,0.698,1,23,3123865,2,0,0,1
49,47601,18536,0.611,4,28,4326620,1,1,0,1
29,164227,80838,0.508,0,30,67952,1,1,0,2
62,225191,106660,0.526,3,14,4987226,2,2,0,2
60,192849,141792,0.265,1,32,3747235,2,2,1,2
22,180604,121782,0.326,3,34,912737,2,2,1,2
24,153727,71445,0.535,4,22,3937999,0,0,2,2
34,88227,48680,0.448,2,31,4448470,1,0,1,2
49,161039,56775,0.647,3,7,2273162,2,2,1,2
46,109289,86773,0.206,2,21,962239,2,1,2,2
54,176094,143425,0.186,1,16,4190635,1,1,1,1
59,230743,193568,0.161,3,20,205532,0,0,1,0
27,292866,227763,0.222,3,19,4844218,2,0,2,2
53,183485,72601,0.604,1,32,1110428,1,0,2,1
42,258820,84222,0.675,1,15,3174108,1,1,1,2
37,261994,162116,0.381,0,5,477563,1,0,1,0
42,93323,74838,0.198,4,11,172263,1,1,1,1
32,65695,26116,0.602,3,15,3412802,0,1,2,2
58,80841,24565,0.696,3,29,3022488,1,0,2,1
57,223784,166276,0.257,1,4,4707583,2,0,1,0
56,132096,45208,0.658,1,23,704914,1,1,2,2
40,117764,62125,0.472,4,15,2840999,1,0,1,1
41,110744,74573,0.327,1,3,4510465,2,0,1,1
39,34171,14701,0.57,2,32,1499090,1,0,2,1
62,125755,43533,0.654,2,10,3915840,1,1,1,1
35,133125,96317,0.276,2,22,4638909,1,1,0,1
36,28696,18554,0.353,2,14,728666,0,0,2,1
52,151310,127655,0.156,4,17,2253749,0,1,1,1
22,176385,86317,0.511,3,21,3621036,1,2,1,2
24,70740,23624,0.666,2,15,604918,2,1,2,2
37,131611,92639,0.296,1,15,990975,2,0,2,1
44,273922,160779,0.413,2,1,4749872,0,1,2,1
32,88811,37057,0.583,4,24,3794146,1,1,1,2
33,207385,151380,0.27,1,12,2031172,0,2,1,1
31,88232,36357,0.588,2,10,2559909,1,2,1,2
53,180801,80160,0.557,3,31,2890128,0,1,1,1
37,137492,48244,0.649,1,11,713341,2,1,2,2
29,55099,28634,0.48,1,16,934836,0,2,2,2
59,254206,134833,0.47,3,9,2373684,0,2,0,1
33,143474,83646,0.417,1,14,525982,1,1,0,1
45,296400,204495,0.31,2,19,1004181,0,0,2,1
49,268588,214428,0.202,1,31,4020362,2,0,2,2
29,59681,22425,0.624,2,9,1572464,2,1,1,2
49,116328,38375,0.67,3,26,2660209,0,1,1,1
57,243512,75535,0.69,0,8,4626940,1,2,1,1
47,59540,22565,0.621,3,24,2669086,2,2,2,2
29,182608,120863,0.338,2,8,3580196,2,0,1,1
49,109700,76802,0.3,4,19,2108062,2,1,1,1
49,212647,155780,0.267,3,30,2581517,0,0,1,1
58,71002,30817,0.566,4,22,2849401,0,1,1,1
62,74812,35030,0.532,4,9,4852033,0,1,0,0
57,216051,122225,0.434,2,4,4541542,1,0,2,1
48,282906,94702,0.665,2,8,4193319,2,0,2,2
38,133946,85206,0.364,0,1,2384703,0,0,2,0
30,91668,77097,0.159,1,28,3312739,1,0,2,2
54,124003,61808,0.502,3,6,1307729,1,2,1,1
41,236142,168620,0.286,2,11,1467962,2,0,0,1
34,245462,141145,0.425,3,5,4790500,0,0,2,1
49,219886,81423,0.63,4,24,1922244,0,0,1,1
50,129601,80382,0.38,1,18,2859281,1,2,1,1
34,294956,137134,0.535,0,20,2969137,0,0,1,1
56,86844,27696,0.681,3,28,4933574,1,0,1,1
27,226165,146828,0.351,1,13,1399155,1,1,1,1
39,199870,154382,0.228,0,5,1097584,2,0,0,0
26,99601,48766,0.51,3,30,4717647,1,0,0,1
46,282927,145611,0.485,1,1,3460762,1,1,1,1
23,198423,156766,0.21,2,22,377403,2,0,2,2
31,118330,88449,0.253,3,18,1495166,2,2,1,2
51,250391,173577,0.307,1,5,1340124,1,1,0,0
26,238606,104232,0.563,0,31,2424519,1,1,1,2
54,216387,173243,0.199,1,6,1028512,1,0,2,0
22,266133,102442,0.615,2,27,4981373,1,2,1,2
39,187627,120967,0.355,3,25,484948,2,1,0,1
53,203048,64130,0.684,3,29,4763689,2,0,2,2
32,70095,45845,0.346,3,28,2734711,1,0,0,1
42,170342,77067,0.548,2,16,1139987,0,1,0,1
47,186980,102338,0.453,0,12,547929,0,2,1,1
46,87433,42833,0.51,3,20,2306995,0,2,1,2
43,44991,17772,0.605,0,18,3113119,0,1,2,2
48,297919,191290,0.358,1,34,305056,1,1,0,0
34,172745,135619,0.215,0,23,506313,0,0,1,1
54,147808,122310,0.173,0,27,4564675,1,1,1,1
55,183128,74311,0.594,3,17,4680078,0,2,1,1
62,162686,112994,0.305,4,21,4396850,0,1,0,0
56,32415,21568,0.335,4,31,128773,1,0,0,0
22,271038,132499,0.511,2,3,2206810,2,0,1,2
42,279205,86694,0.689,2,17,3768900,1,0,1,1
27,213221,144859,0.321,4,26,4907227,1,1,2,2
49,193616,158769,0.18,1,23,2940322,1,2,1,1
38,74976,48559,0.352,3,6,1347962,1,0,1,0
26,290976,156955,0.461,3,28,927445,1,0,1,2
52,246883,145373,0.411,1,8,107966,0,1,2,1
26,236509,96920,0.59,1,8,4887491,1,2,1,2
59,264241,188350,0.287,4,19,177297,1,1,1,1
24,244526,173743,0.289,2,29,2789608,1,0,1,1
44,213799,81250,0.62,1,23,705906,1,0,1,1
58,63578,49774,0.217,2,32,1439977,2,1,1,1
58,115453,51729,0.552,0,10,330453,1,2,0,1
31,233859,196497,0.16,3,27,4133230,0,0,0,0
31,136435,69663,0.489,4,1,610784,1,1,2,2
40,241101,95918,0.602,3,29,4879932,1,1,0,1
38,176538,87111,0.507,4,3,760397,0,1,1,0
42,70475,38204,0.458,0,31,4304382,1,0,0,1
35,241232,81565,0.662,3,11,1144818,2,2,0,2
30,182636,112872,0.382,0,22,3961047,1,1,1,2
22,178484,112212,0.371,4,18,443092,1,1,0,1
34,118526,83728,0.294,1,6,2979631,0,1,0,0
25,76001,24019,0.684,3,3,4883143,1,2,1,2
22,217029,129714,0.402,0,5,4089633,0,1,1,1
61,169228,55692,0.671,3,9,775128,2,1,2,2
53,50711,34768,0.314,3,28,4043910,1,1,0,1
55,55106,18220,0.669,3,19,2761774,2,1,2,2
49,242583,194418,0.199,2,28,682701,0,0,2,1
52,163286,112037,0.314,0,27,3931212,2,2,0,1
29,252189,146033,0.421,0,13,1078181,2,2,2,2
60,151479,82226,0.457,3,21,1248756,2,0,0,1
47,161213,59950,0.628,1,27,2961790,2,0,1,2
55,53884,24789,0.54,3,6,2190527,0,0,1,0
24,289852,225483,0.222,2,11,1928945,1,2,1,2
33,40088,31968,0.203,4,17,2420056,1,1,1,1
22,201118,60418,0.7,2,7,1714185,1,1,1,2
26,297158,186251,0.373,1,30,1670411,2,2,2,2
51,220497,153381,0.304,3,21,1354559,0,1,1,1
51,203207,130115,0.36,0,1,3906165,0,2,1,0
38,103077,35553,0.655,3,25,3709689,1,1,2,2
44,164784,69167,0.58,1,32,3459633,2,1,2,2
36,230776,101007,0.562,0,8,2631062,2,1,2,2
58,94087,71266,0.243,2,5,2145575,1,1,2,1
42,299441,166117,0.445,4,30,759904,1,2,1,2
35,265341,150648,0.432,4,8,1096141,1,1,1,1
23,93368,76019,0.186,3,19,1534038,1,1,0,1
32,244571,159068,0.35,2,30,3036126,0,0,2,1
60,276514,219626,0.206,1,15,6220,1,0,0,0
59,167180,92129,0.449,4,27,2991992,1,1,1,2
55,284904,108887,0.618,2,13,4810443,1,1,0,1
59,102603,83258,0.189,3,14,4904418,0,2,0,1
55,58872,32514,0.448,0,30,1928337,2,1,0,1
39,297872,119118,0.6,3,13,4321940,2,1,1,2
51,110774,51655,0.534,3,16,2512873,1,2,0,1
36,223522,73302,0.672,2,7,1863296,2,1,1,1
48,245357,136802,0.442,4,27,2695932,1,2,2,2
55,90942,69954,0.231,2,15,4475557,1,1,2,1
59,38689,31472,0.187,0,28,3919144,1,0,0,0
54,58276,47374,0.187,2,7,2154478,2,1,2,1
45,126968,46835,0.631,1,20,3894605,1,0,2,2
36,91216,46531,0.49,3,32,349706,1,0,0,1
51,240516,75889,0.684,4,32,4575902,1,0,2,2
63,46644,35931,0.23,0,26,2340567,2,1,2,2
38,87021,43276,0.503,3,20,3540765,2,0,1,2
26,193197,125020,0.353,2,18,4633005,1,0,0,1
50,67291,46645,0.307,1,15,3229285,2,0,1,1
25,50675,27182,0.464,2,22,2284612,1,0,2,2
31,174359,81694,0.531,3,22,4204676,2,0,1,2
38,287318,238248,0.171,0,21,4694204,2,0,1,1
31,117268,97387,0.17,4,2,1148626,0,0,1,0
38,209384,96147,0.541,3,18,4527781,2,0,1,2
41,130410,73524,0.436,0,23,1886780,1,0,1,1
45,154887,129340,0.165,3,13,4909334,2,2,1,2
26,226554,68572,0.697,1,9,95856,2,1,2,2
55,59675,31447,0.473,2,7,2521629,0,1,2,1
27,291317,103490,0.645,4,1,792539,1,2,1,2
23,206517,119787,0.42,0,2,222368,1,0,1,1
34,95305,29884,0.686,4,4,4402050,2,0,1,2
64,193636,101425,0.476,4,14,1739204,2,2,2,2
64,113791,47949,0.579,4,32,1473400,1,1,1,1
32,184034,109190,0.407,0,2,2878137,1,2,1,2
44,95533,80992,0.152,0,14,2835512,1,2,2,1
37,212256,157132,0.26,4,20,648431,0,0,2,1
52,166650,127504,0.235,2,25,3379557,0,2,0,1
32,156060,101344,0.351,3,8,805064,1,2,1,1
37,174696,56401,0.677,4,28,274244,0,1,1,1
29,267188,110546,0.586,1,21,3455802,0,2,2,2
25,262501,212307,0.191,4,23,4130093,0,0,0,1
61,208887,104728,0.499,0,32,2305129,2,1,1,2
25,29986,10705,0.643,3,8,469092,1,0,1,1
46,288625,198089,0.314,1,31,78944,1,0,0,0
24,225339,104715,0.535,3,16,2541208,0,1,1,2
53,146950,65814,0.552,3,27,1985449,1,0,1,1
24,150355,127634,0.151,1,18,1984540,1,1,1,2
48,52798,40758,0.228,4,15,4810233,0,1,1,1
50,116649,61166,0.476,4,27,1044733,1,1,1,1
53,44477,37322,0.161,4,17,1863618,2,0,1,1
40,242400,159393,0.342,2,2,1724931,1,1,1,1
42,242060,171405,0.292,4,31,4464165,1,2,0,1
26,298586,94750,0.683,1,34,1258515,1,1,0,2
39,131464,48231,0.633,2,34,4782614,0,1,2,2
49,156184,101237,0.352,4,3,2281892,2,1,1,1
63,112051,89020,0.206,2,17,815982,2,1,2,2
43,175653,112955,0.357,1,14,4673671,1,1,1,1
42,270300,101014,0.626,4,14,1146615,1,2,0,1
27,84722,30810,0.636,0,1,3323180,2,1,2,2
22,117036,89450,0.236,1,29,3440672,1,1,0,1
26,253634,95522,0.623,3,4,1583750,1,1,2,2
62,172595,101162,0.414,3,33,3618558,1,1,0,1
33,273709,87699,0.68,1,17,3346709,1,1,1,2
47,166880,57468,0.656,3,28,1867540,2,1,0,1
55,260419,174426,0.33,1,26,1161341,1,1,2,2
35,179692,122019,0.321,0,8,2066776,0,0,2,0
47,288031,140503,0.512,1,34,928567,1,1,0,1
48,110024,46054,0.581,4,18,1333809,2,2,1,2
30,270809,202440,0.252,4,31,4643462,0,0,0,0
47,143639,60243,0.581,2,27,4115061,2,2,2,2
43,106938,63961,0.402,3,16,4752177,1,0,1,1
51,242813,202145,0.167,3,10,3086395,2,0,1,0
64,277100,105663,0.619,1,12,2811516,1,1,0,1
38,109526,89535,0.183,3,22,1298898,1,2,2,2
47,71220,28530,0.599,4,16,4444787,1,1,1,1
57,100277,61378,0.388,0,12,4196742,2,0,2,1
22,147332,74749,0.493,1,11,416428,1,0,2,2
29,259231,215345,0.169,3,20,4659697,1,1,0,1
56,47931,21590,0.55,4,1,800458,0,0,1,0
36,114116,59318,0.48,2,27,1430888,0,1,1,1
43,276671,232562,0.159,3,3,1886006,2,1,1,1
35,76913,45767,0.405,0,12,973248,0,1,0,1
47,275216,158647,0.424,0,30,2148191,2,0,2,2
49,119776,52914,0.558,3,9,2802343,1,0,2,1
44,50991,34967,0.314,3,1,689963,2,1,2,1
35,210917,64942,0.692,4,4,1033687,0,0,2,1
45,129092,42243,0.673,3,15,3376848,0,1,1,1
23,254577,160293,0.37,2,27,576435,0,2,1,1
47,211384,103138,0.512,4,8,4970995,2,0,0,1
35,262113,216066,0.176,1,23,1075091,1,0,1,1
28,120556,96053,0.203,2,15,2068051,0,0,0,1
24,181989,126034,0.307,4,27,2810909,2,2,1,2
44,153467,115097,0.25,4,31,1272791,2,0,2,1
64,243800,162622,0.333,0,8,4684377,2,2,2,1
39,151155,55786,0.631,4,30,889515,0,1,2,1
59,84778,61129,0.279,2,18,3464780,1,0,0,0
56,70833,29438,0.584,3,4,1505859,2,0,2,1
36,57088,27281,0.522,2,22,1497488,1,1,0,1
46,235722,176927,0.249,1,3,1984509,0,1,1,0
58,221375,131737,0.405,4,15,880480,0,1,1,1
49,101361,78348,0.227,4,33,1256324,2,0,1,1
31,160189,66825,0.583,4,14,2767359,0,1,2,2
60,115265,73110,0.366,4,1,2799703,2,0,1,1
38,122718,42470,0.654,0,26,3966416,1,1,1,1
60,119876,78360,0.346,0,8,913457,2,0,0,0
43,55949,40249,0.281,3,16,1470566,1,1,2,1
47,237954,147938,0.378,4,10,651631,1,0,1,0
46,136541,60955,0.554,1,26,1812146,1,1,2,2
38,220691,70011,0.683,3,28,867595,2,1,1,2
34,86842,31757,0.634,4,12,3335564,1,0,1,2
41,257930,165659,0.358,0,20,2153947,2,1,1,1
46,172265,140211,0.186,1,14,687693,1,0,1,1
25,155356,64254,0.586,3,29,3390348,1,0,1,2
31,269629,189890,0.296,1,12,3181807,1,2,2,2
24,237802,184664,0.223,4,18,3229953,0,0,2,1
62,190582,111773,0.414,2,2,288715,2,1,0,1
39,288450,192712,0.332,1,2,3196847,0,2,0,0
57,28849,21586,0.252,1,17,270153,2,0,1,1
43,37360,16564,0.557,0,10,1552323,2,2,2,2
55,278279,128924,0.537,4,18,300374,0,0,1,1
29,119767,35971,0.7,1,22,1159940,0,1,2,2
61,286445,237663,0.17,4,19,1366769,1,1,2,1
40,201872,162436,0.195,0,1,3531145,2,2,1,1
63,79330,57158,0.279,4,24,2478762,1,1,0,1
62,76707,26348,0.657,0,25,1740434,1,1,2,2
58,54084,29536,0.454,0,31,4837645,2,1,1,2
27,65387,23280,0.644,3,31,638100,0,0,1,1
47,27642,8534,0.691,4,2,2398487,1,1,1,1
55,211633,135212,0.361,2,19,4379829,1,0,1,1
27,171510,142088,0.172,3,12,3158181,1,1,1,1
58,279511,222652,0.203,0,10,4768585,0,1,1,0
54,288957,197419,0.317,2,31,3518652,1,2,1,1
43,109381,38628,0.647,1,22,2142858,2,1,2,2
42,274880,123913,0.549,1,23,1222465,1,2,0,1
27,218984,104243,0.524,3,23,2030624,1,0,0,2
27,85272,61373,0.28,2,15,1664298,0,0,1,1
25,198123,146856,0.259,4,26,3856798,1,1,2,2
51,238808,122223,0.488,2,3,575087,0,1,0,0
32,278091,147342,0.47,3,23,3347950,1,1,0,2
51,289064,93795,0.676,4,20,2456675,1,1,1,2
52,131121,60187,0.541,4,8,3780003,1,0,1,1
45,101872,55846,0.452,1,18,3091879,0,1,1,1
30,289237,105380,0.636,2,6,4722393,1,0,0,1
24,146759,80614,0.451,4,27,2923728,1,0,0,1
52,107289,82531,0.231,3,15,2762660,1,0,2,1
61,141506,87695,0.38,1,5,2966403,0,1,1,0
58,103513,35547,0.657,4,9,675221,1,1,2,1
57,207003,83922,0.595,2,7,3299280,1,0,1,1
45,284480,159593,0.439,1,20,2115789,1,1,1,1
52,287043,143182,0.501,2,10,1502096,2,1,2,2
27,216758,107793,0.503,2,26,1620295,1,2,0,2
23,158498,93687,0.409,2,4,4818529,0,1,1,1
41,279024,173390,0.379,1,24,4512620,1,0,0,0
49,155970,115148,0.262,4,14,1074013,2,2,1,2
32,115009,56070,0.512,0,1,3547093,1,0,0,1
25,224570,166856,0.257,4,17,3553615,2,1,0,2
36,222467,108171,0.514,1,24,4690525,2,1,2,2
27,69816,23073,0.67,0,27,23119,1,0,1,2
51,29138,17622,0.395,0,7,701477,1,1,2,1
59,116176,72417,0.377,0,9,1458071,1,0,1,0
23,291161,237004,0.186,3,12,230882,1,2,1,2
36,297595,208118,0.301,1,21,476113,1,0,0,0
32,219028,176268,0.195,3,3,1633669,2,1,1,2
29,297422,237815,0.2,0,15,1066777,1,1,1,2
47,246552,155948,0.367,3,21,2125786,0,0,0,0
26,68764,40589,0.41,3,10,1980840,2,1,2,2
27,148030,89793,0.393,1,33,2405071,1,2,1,2
47,120667,101128,0.162,2,6,1055374,2,1,1,1
25,85128,61738,0.275,3,2,508377,1,1,1,1
40,244128,87506,0.642,3,29,2556471,0,1,2,2
41,258540,188252,0.272,0,33,1650024,0,2,0,1
54,30039,11829,0.606,0,4,3223479,2,0,1,1
41,177353,96842,0.454,0,4,3088158,0,1,1,1
33,137935,57346,0.584,4,29,182482,2,0,0,2
22,35442,24074,0.321,3,20,2061369,1,2,1,2
47,78053,61078,0.217,0,23,364758,2,1,1,1
35,206561,94955,0.54,1,18,3191683,2,2,0,2
59,239176,82541,0.655,4,25,1968062,2,2,0,2
58,111346,51683,0.536,2,1,2786376,0,0,2,1
32,59397,39784,0.33,3,15,1520910,1,0,0,1
57,141214,67898,0.519,3,34,4041328,0,0,1,1
34,182221,82539,0.547,1,20,3346615,0,1,0,1
64,138143,55456,0.599,2,27,814356,1,1,0,1
24,288013,165214,0.426,2,22,3962513,2,2,0,2
54,288158,130181,0.548,4,5,1162320,0,0,1,1
27,35103,24644,0.298,3,34,2328897,2,1,0,2
31,107409,36749,0.658,0,3,217522,0,2,0,1
26,48248,32095,0.335,1,17,672810,1,0,2,2
44,199588,85954,0.569,1,24,2196143,0,0,1,1
31,180242,102576,0.431,1,24,3866692,2,1,0,2
23,33024,15103,0.543,1,3,3152502,0,1,1,1
34,259864,181261,0.302,0,7,4193483,2,2,0,1
61,199875,163881,0.18,0,25,4833699,1,1,1,1
23,168927,135883,0.196,4,3,1716126,2,2,1,1
41,110178,68407,0.379,3,15,4618806,1,1,0,1
22,88610,49128,0.446,0,29,1780261,1,0,0,1
58,95843,71888,0.25,4,29,228552,1,0,1,1
30,132237,89369,0.324,2,10,2693867,2,0,2,2
38,205903,82558,0.599,3,32,751247,1,0,0,1
30,199499,149924,0.248,0,23,4401228,2,0,0,1
32,155299,83222,0.464,2,9,1832413,0,1,1,1
36,30668,12388,0.596,4,14,3919668,2,1,1,2
45,247542,112628,0.545,0,4,4817335,1,1,0,1
59,203267,90888,0.553,0,20,3335430,0,0,1,1
56,180489,105687,0.414,2,28,246968,1,1,1,2
51,131133,56243,0.571,0,14,2028851,2,1,0,2
52,297895,109613,0.632,1,34,2935299,2,2,1,2
26,294496,108383,0.632,0,13,3153194,1,2,0,2
35,235124,145965,0.379,3,31,1830439,2,2,1,2
32,113835,80153,0.296,2,33,804069,1,1,2,2
30,122493,58409,0.523,3,28,4263049,2,0,1,2
55,197166,62907,0.681,4,25,1753702,0,0,1,1
33,126948,46967,0.63,3,32,2624983,1,2,1,2
56,210194,168803,0.197,1,9,3530662,0,1,1,0
56,54493,31139,0.429,1,28,487843,1,1,2,2
22,224886,123566,0.451,3,31,1011987,1,2,1,2
61,163368,52429,0.679,4,17,1594928,2,1,1,2
43,181470,127165,0.299,0,23,2693727,1,0,0,1
50,38261,22590,0.41,1,13,604730,2,0,1,1
29,101709,41817,0.589,3,10,2574000,2,0,1,1
32,120985,43620,0.639,3,16,14425,0,1,0,1
62,292247,149298,0.489,3,6,4507929,1,1,1,1
58,271404,206386,0.24,0,11,77347,1,2,1,1
35,125336,97249,0.224,2,3,3622058,2,1,1,1
51,138499,87471,0.368,4,28,4710370,2,0,2,2
56,174524,122192,0.3,2,15,1391819,2,0,0,1
42,191508,69581,0.637,4,13,4877155,1,1,0,1
58,172026,107252,0.377,4,17,3127757,2,2,2,2
26,275819,183924,0.333,3,7,2425132,1,0,2,1
40,37356,15330,0.59,1,28,1883998,1,2,1,2
35,153128,120065,0.216,3,13,3733643,1,0,0,0
47,27187,11071,0.593,0,17,4607741,2,0,1,2
25,177297,83757,0.528,4,15,3916053,2,2,0,2
46,159678,102402,0.359,1,28,2599422,1,0,2,1
63,151270,98490,0.349,4,15,3274073,2,1,2,2
46,267998,183487,0.315,4,11,597131,2,0,0,1
39,266503,96369,0.638,3,31,3065969,1,2,2,2
61,87061,66793,0.233,1,4,4223555,1,2,1,1
29,260497,154491,0.407,1,34,3585530,1,2,2,2
60,106257,59421,0.441,4,27,971388,1,0,2,2
61,86753,72838,0.16,1,10,2936204,1,0,0,0
35,48408,34234,0.293,1,30,1582904,1,1,0,0
53,149116,54412,0.635,3,20,3322678,2,0,1,2
59,156208,111860,0.284,2,29,399185,0,1,2,1
54,42413,14945,0.648,0,29,1691368,1,1,2,2
44,138650,43689,0.685,2,23,1385387,1,0,1,1
36,84500,44108,0.478,1,21,529325,1,1,0,1
54,81358,68866,0.154,4,10,4516974,2,2,0,1
46,91197,36130,0.604,0,12,1194341,1,2,2,2
38,248861,166725,0.33,0,30,1567981,1,1,1,1
54,248492,98245,0.605,4,33,2975746,2,0,1,2
23,286545,200189,0.301,0,18,1107666,0,0,1,1
35,101240,58511,0.422,4,14,1447754,2,0,2,2
61,260595,175636,0.326,0,22,1018364,1,0,2,1
61,246135,101304,0.588,2,21,490167,0,2,1,2
60,31968,22700,0.29,0,1,1400272,2,0,0,0
27,215920,183011,0.152,3,15,2375740,0,0,1,1
27,288844,192401,0.334,4,22,302587,1,0,2,2
24,257076,146896,0.429,0,32,1720442,0,0,1,2
28,48199,38932,0.192,4,33,431600,0,0,1,1
29,188187,58096,0.691,3,23,2074678,2,1,0,2
63,210388,147578,0.299,0,2,2606242,2,1,1,1
36,30520,24074,0.211,0,2,2456525,0,0,0,0
50,134814,45017,0.666,3,29,1423034,1,0,1,1
54,192527,105415,0.452,3,3,1597112,2,1,1,1
51,271356,111960,0.587,3,7,4633682,2,1,1,1
60,148364,90737,0.388,4,29,698050,1,0,0,0
48,39955,26260,0.343,3,23,1438241,2,2,0,1
57,200121,93344,0.534,4,16,4132857,1,1,1,2
50,169989,94002,0.447,2,31,2865264,1,1,1,1
59,275144,124815,0.546,0,34,43237,2,2,1,2
54,89925,45247,0.497,0,1,3010551,0,1,2,1
58,95269,36940,0.612,1,18,1656094,0,2,0,1
48,177185,139454,0.213,2,15,2656420,1,2,1,1
54,124977,38181,0.694,3,17,785345,0,0,1,1
25,54345,42678,0.215,3,10,1043637,1,2,2,2
43,280688,172461,0.386,2,20,3745006,2,0,1,1
23,286798,138354,0.518,3,6,2267784,1,0,1,1
31,203933,142280,0.302,1,8,2974633,1,2,1,1
26,122406,70905,0.421,4,34,3322787,1,2,1,2
31,28453,16346,0.425,0,32,1734921,0,1,2,2
